"Cyst_ID","Old_ID","New_ID","Genotype","MStage","c3G_continuous","c3G_discontinuous","c3G_foci","Notes","Normalized_H2Av","Slice_Count","C3G_Germarium_Image","C3G_Slice_Count","C3G_Total_Area","C3G_Total_IntDen","Normalized_C3G","C3G_ROIFolder","Region","Cyst_ID_clean","Group","Germarium_Image","ROIFolder","SC_morphology","Slice_Count_mask","Total_MaskedPixelCount","Total_MaskedArea","Total_MaskedIntDen","Normalized_H2Av_masked"
"Meip26-1_C10_16cc",NA,"m_026.tif","meiP26","16cc",1,0,0,NA,244.4199,31,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",31,2336.6708,516840.3891,221.1867,1,"3","Meip26-1_C10_16cc","mp26","m_026_masked.tif",1,"continuous",31,5184,17.7259,4312177,831.8243
"Meip26-1_C1_2cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","2cc",0,0,0,"Foci",115.87,15,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",15,299.0247,51982.034,173.8386,1,NA,"Meip26-1_C1_2cc","mp26","m_026_masked.tif",1,"none",NA,NA,NA,NA,NA
"Meip26-1_C2_4cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","4cc",0,0,0,"Foci",127.9167,21,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",21,940.2603,203985.1074,216.9454,1,NA,"Meip26-1_C2_4cc","mp26","m_026_masked.tif",1,"none",NA,NA,NA,NA,NA
"Meip26-1_C3_4cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","4cc",0,0,0,"Foci",143.8397,20,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",20,417.9117,81857.4586,195.8726,1,NA,"Meip26-1_C3_4cc","mp26","m_026_masked.tif",1,"none",NA,NA,NA,NA,NA
"Meip26-1_C4_8cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","8cc",0,0,0,"Foci",105.1341,15,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",15,653.5692,109211.6878,167.1004,1,NA,"Meip26-1_C4_8cc","mp26","m_026_masked.tif",1,"none",NA,NA,NA,NA,NA
"Meip26-1_C5_8cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","8cc",0,0,1,"Foci",126.6579,20,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",20,577.3453,121668.5853,210.738,1,NA,"Meip26-1_C5_8cc","mp26","m_026_masked.tif",1,"foci",NA,NA,NA,NA,NA
"Meip26-1_C6_16cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","16cc",0,1,1,"Continuous, foci. Diffuse. Not loaded",149.3857,44,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",44,1197.6614,348862.3587,291.2863,1,"2a","Meip26-1_C6_16cc","mp26","m_026_masked.tif",1,"discontinuous",44,1296,4.4315,200384,154.6173
"Meip26-1_C7_16cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","16cc",0,0,0,"Foci",106.1758,12,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",12,721.0669,142429.305,197.5258,1,"2b","Meip26-1_C7_16cc","mp26","m_026_masked.tif",1,"none",NA,NA,NA,NA,NA
"Meip26-1_C8_16cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","16cc",0,1,1,"Discontinuous, loaded",208.3466,23,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",23,1535.0716,334599.9028,217.9702,1,"2a","Meip26-1_C8_16cc","mp26","m_026_masked.tif",1,"discontinuous",23,1641,5.6111,655147,399.2364
"Meip26-1_C9_16cc","RawMeip26imagesforQuant.lif - meip26-1_1_C3_C4_AllCysts.csv","m_026.tif","meiP26","16cc",1,0,0,"Complete SC, loaded",168.5568,26,"RawMeip26imagesforQuant.lif - meip26-1_C4.tif",26,1996.4294,432115.1678,216.444,1,"2a","Meip26-1_C9_16cc","mp26","m_026_masked.tif",1,"continuous",26,4684,16.0162,2560507,546.6497
